ts,symbol,weight,dw,abs_dw,txn_cost,slippage_cost,cost
2016-01-15,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,GLD,0.0,0.0,0.0,0.0,0.0,0.0
