ts,decision_ts,gross,net,exposure,turnover,txn_cost,slippage_cost,costs,window_id
2017-01-04,2017-01-03,0.007822452221750664,0.007622452221750664,1.0,1.0,0.0002,0.0,0.0002,0
2017-01-05,2017-01-04,0.004579692926397682,0.004579692926397682,1.0,0.0,0.0,0.0,0.0,0
2017-01-06,2017-01-05,-0.0006368342128284521,-0.0006368342128284521,1.0,0.0,0.0,0.0,0.0,0
2017-01-09,2017-01-06,-0.003135730552978433,-0.003135730552978433,1.0,0.0,0.0,0.0,0.0,0
2017-01-10,2017-01-09,0.00025188816112615715,0.00025188816112615715,1.0,0.0,0.0,0.0,0.0,0
2017-01-11,2017-01-10,0.006906201173088689,0.006906201173088689,1.0,0.0,0.0,0.0,0.0,0
2017-01-12,2017-01-11,-4.0768886673381446e-05,-4.0768886673381446e-05,1.0,0.0,0.0,0.0,0.0,0
2017-01-13,2017-01-12,0.0011050166205411106,0.0011050166205411106,1.0,0.0,0.0,0.0,0.0,0
2017-01-17,2017-01-13,-0.0025405952498542385,-0.0025405952498542385,1.0,0.0,0.0,0.0,0.0,0
2017-01-18,2017-01-17,-0.0034782018448116015,-0.0034782018448116015,1.0,0.0,0.0,0.0,0.0,0
2017-01-19,2017-01-18,-0.003046643499313739,-0.003046643499313739,1.0,0.0,0.0,0.0,0.0,0
2017-01-20,2017-01-19,0.004907580297519132,0.004907580297519132,1.0,0.0,0.0,0.0,0.0,0
2017-01-23,2017-01-20,0.001701544728560267,0.001701544728560267,1.0,0.0,0.0,0.0,0.0,0
2017-01-24,2017-01-23,0.004909179294955557,0.004909179294955557,1.0,0.0,0.0,0.0,0.0,0
2017-01-25,2017-01-24,0.004978754537014951,0.004978754537014951,1.0,0.0,0.0,0.0,0.0,0
2017-01-26,2017-01-25,0.0001065545640832388,0.0001065545640832388,1.0,0.0,0.0,0.0,0.0,0
2017-01-27,2017-01-26,-0.0009431532806164489,-0.0009431532806164489,1.0,0.0,0.0,0.0,0.0,0
2017-01-30,2017-01-27,-0.00658712611088157,-0.00658712611088157,1.0,0.0,0.0,0.0,0.0,0
2017-01-31,2017-01-30,0.0021306132145630266,0.0021306132145630266,1.0,0.0,0.0,0.0,0.0,0
2017-02-01,2017-01-31,0.002292176470999197,0.002292176470999197,1.0,0.0,0.0,0.0,0.0,0
2017-02-02,2017-02-01,0.0003961417789848375,0.0003961417789848375,1.0,0.0,0.0,0.0,0.0,0
2017-02-03,2017-02-02,0.006664062984105723,0.006664062984105723,1.0,0.0,0.0,0.0,0.0,0
2017-02-06,2017-02-03,-0.001599425745830241,-0.001599425745830241,1.0,0.0,0.0,0.0,0.0,0
2017-02-07,2017-02-06,-0.0016750175501753506,-0.0016750175501753506,1.0,0.0,0.0,0.0,0.0,0
2017-02-08,2017-02-07,0.002737484907405008,0.002737484907405008,1.0,0.0,0.0,0.0,0.0,0
2017-02-09,2017-02-08,0.0040690269717642445,0.0040690269717642445,1.0,0.0,0.0,0.0,0.0,0
2017-02-10,2017-02-09,0.004759001319153045,0.004759001319153045,1.0,0.0,0.0,0.0,0.0,0
2017-02-13,2017-02-10,0.001106929258598144,0.001106929258598144,1.0,0.0,0.0,0.0,0.0,0
2017-02-14,2017-02-13,0.0024357378338443645,0.0024357378338443645,1.0,0.0,0.0,0.0,0.0,0
2017-02-15,2017-02-14,0.003819047921517294,0.003819047921517294,1.0,0.0,0.0,0.0,0.0,0
2017-02-16,2017-02-15,0.0009835233347056716,0.0009835233347056716,1.0,0.0,0.0,0.0,0.0,0
2017-02-17,2017-02-16,0.0003139687850648,0.0003139687850648,1.0,0.0,0.0,0.0,0.0,0
2017-02-21,2017-02-17,0.005506349931867094,0.005506349931867094,1.0,0.0,0.0,0.0,0.0,0
2017-02-22,2017-02-21,-0.0012451841020059695,-0.0012451841020059695,1.0,0.0,0.0,0.0,0.0,0
2017-02-23,2017-02-22,0.0019876541541936745,0.0019876541541936745,1.0,0.0,0.0,0.0,0.0,0
2017-02-24,2017-02-23,-0.0010587130246844324,-0.0010587130246844324,1.0,0.0,0.0,0.0,0.0,0
2017-02-27,2017-02-24,0.0004951369559787699,0.0004951369559787699,1.0,0.0,0.0,0.0,0.0,0
2017-02-28,2017-02-27,-0.003459979649770373,-0.003459979649770373,1.0,0.0,0.0,0.0,0.0,0
2017-03-01,2017-02-28,0.008739378219508721,0.008739378219508721,1.0,0.0,0.0,0.0,0.0,0
2017-03-02,2017-03-01,-0.010522509677724258,-0.010522509677724258,1.0,0.0,0.0,0.0,0.0,0
2017-03-03,2017-03-02,0.0035195201507248752,0.0035195201507248752,1.0,0.0,0.0,0.0,0.0,0
2017-03-06,2017-03-03,-0.0036144742897402105,-0.0036144742897402105,1.0,0.0,0.0,0.0,0.0,0
2017-03-07,2017-03-06,-0.002841185255807244,-0.002841185255807244,1.0,0.0,0.0,0.0,0.0,0
2017-03-08,2017-03-07,-0.008303984555838617,-0.008303984555838617,1.0,0.0,0.0,0.0,0.0,0
2017-03-09,2017-03-08,-0.002882257589875037,-0.002882257589875037,1.0,0.0,0.0,0.0,0.0,0
2017-03-10,2017-03-09,0.0019132785452293797,0.0019132785452293797,1.0,0.0,0.0,0.0,0.0,0
2017-03-13,2017-03-10,0.0019971118954918102,0.0019971118954918102,1.0,0.0,0.0,0.0,0.0,0
2017-03-14,2017-03-13,-0.003882056762498465,-0.003882056762498465,1.0,0.0,0.0,0.0,0.0,0
2017-03-15,2017-03-14,0.012538640172181837,0.012538640172181837,1.0,0.0,0.0,0.0,0.0,0
2017-03-16,2017-03-15,0.0008936733034189405,0.0008936733034189405,1.0,0.0,0.0,0.0,0.0,0
2017-03-17,2017-03-16,-0.0013101316638299831,-0.0013101316638299831,1.0,0.0,0.0,0.0,0.0,0
2017-03-20,2017-03-17,7.330398945397665e-05,7.330398945397665e-05,1.0,0.0,0.0,0.0,0.0,0
2017-03-21,2017-03-20,-0.011290865046864263,-0.011290865046864263,1.0,0.0,0.0,0.0,0.0,0
2017-03-22,2017-03-21,0.002590919336326969,0.002590919336326969,1.0,0.0,0.0,0.0,0.0,0
2017-03-23,2017-03-22,-0.0009399306418841902,-0.0009399306418841902,1.0,0.0,0.0,0.0,0.0,0
2017-03-24,2017-03-23,0.0017102657579731952,0.0017102657579731952,1.0,0.0,0.0,0.0,0.0,0
2017-03-27,2017-03-24,0.0003659967170655198,0.0003659967170655198,1.0,0.0,0.0,0.0,0.0,0
2017-03-28,2017-03-27,0.00497939405736888,0.00497939405736888,1.0,0.0,0.0,0.0,0.0,0
2017-03-29,2017-03-28,0.003602816294810973,0.003602816294810973,1.0,0.0,0.0,0.0,0.0,0
2017-03-30,2017-03-29,0.0022631496517760974,0.0022631496517760974,1.0,0.0,0.0,0.0,0.0,0
2017-03-31,2017-03-30,-0.0008494408671551824,-0.0008494408671551824,1.0,0.0,0.0,0.0,0.0,0
2017-04-03,2017-03-31,-0.0006994288852193109,-0.0006994288852193109,1.0,0.0,0.0,0.0,0.0,0
2017-04-05,2017-04-04,-0.003819942269464538,-0.004019942269464538,1.0,1.0,0.0002,0.0,0.0002,1
2017-04-06,2017-04-05,0.002930913721657258,0.002930913721657258,1.0,0.0,0.0,0.0,0.0,1
2017-04-07,2017-04-06,-0.00016976175688309116,-0.00016976175688309116,1.0,0.0,0.0,0.0,0.0,1
2017-04-10,2017-04-07,0.0014618333901568416,0.0014618333901568416,1.0,0.0,0.0,0.0,0.0,1
2017-04-11,2017-04-10,0.002474287318007107,0.002474287318007107,1.0,0.0,0.0,0.0,0.0,1
2017-04-12,2017-04-11,-0.002253396719672452,-0.002253396719672452,1.0,0.0,0.0,0.0,0.0,1
2017-04-13,2017-04-12,-0.003830327214687757,-0.003830327214687757,1.0,0.0,0.0,0.0,0.0,1
2017-04-17,2017-04-13,0.0059857470068174325,0.0059857470068174325,1.0,0.0,0.0,0.0,0.0,1
2017-04-18,2017-04-17,-0.0015059017659800446,-0.0015059017659800446,1.0,0.0,0.0,0.0,0.0,1
2017-04-19,2017-04-18,-0.006312545662673463,-0.006312545662673463,1.0,0.0,0.0,0.0,0.0,1
2017-04-20,2017-04-19,0.006611441963149157,0.006611441963149157,1.0,0.0,0.0,0.0,0.0,1
2017-04-21,2017-04-20,-0.0035345511768977603,-0.0035345511768977603,1.0,0.0,0.0,0.0,0.0,1
2017-04-24,2017-04-21,0.009091306941032697,0.009091306941032697,1.0,0.0,0.0,0.0,0.0,1
2017-04-25,2017-04-24,0.004127167695337985,0.004127167695337985,1.0,0.0,0.0,0.0,0.0,1
2017-04-26,2017-04-25,-0.0004622189183336344,-0.0004622189183336344,1.0,0.0,0.0,0.0,0.0,1
2017-04-27,2017-04-26,-2.8686469112404402e-05,-2.8686469112404402e-05,1.0,0.0,0.0,0.0,0.0,1
2017-04-28,2017-04-27,-0.0015147327872858552,-0.0015147327872858552,1.0,0.0,0.0,0.0,0.0,1
2017-05-01,2017-04-28,0.0012624332801339459,0.0012624332801339459,1.0,0.0,0.0,0.0,0.0,1
2017-05-02,2017-05-01,-0.0007457160272588694,-0.0007457160272588694,1.0,0.0,0.0,0.0,0.0,1
2017-05-03,2017-05-02,-0.002534814353769055,-0.002534814353769055,1.0,0.0,0.0,0.0,0.0,1
2017-05-04,2017-05-03,-0.006290236468102584,-0.006290236468102584,1.0,0.0,0.0,0.0,0.0,1
2017-05-05,2017-05-04,0.005931789271549204,0.005931789271549204,1.0,0.0,0.0,0.0,0.0,1
2017-05-08,2017-05-05,-0.0012979342227327996,-0.0012979342227327996,1.0,0.0,0.0,0.0,0.0,1
2017-05-09,2017-05-08,-0.0006564235407039433,-0.0006564235407039433,1.0,0.0,0.0,0.0,0.0,1
2017-05-10,2017-05-09,0.005299195481897967,0.005299195481897967,1.0,0.0,0.0,0.0,0.0,1
2017-05-11,2017-05-10,-0.0005551929479730045,-0.0005551929479730045,1.0,0.0,0.0,0.0,0.0,1
2017-05-12,2017-05-11,0.0014671484809126946,0.0014671484809126946,1.0,0.0,0.0,0.0,0.0,1
2017-05-15,2017-05-12,0.0066991832485933985,0.0066991832485933985,1.0,0.0,0.0,0.0,0.0,1
2017-05-16,2017-05-15,0.0020756284544113934,0.0020756284544113934,1.0,0.0,0.0,0.0,0.0,1
2017-05-17,2017-05-16,-0.011663674693290183,-0.011663674693290183,1.0,0.0,0.0,0.0,0.0,1
2017-05-18,2017-05-17,0.0011082914691414203,0.0011082914691414203,1.0,0.0,0.0,0.0,0.0,1
2017-05-19,2017-05-18,0.009173012428586725,0.009173012428586725,1.0,0.0,0.0,0.0,0.0,1
