Date,Open,High,Low,Close,Volume,ret_1d,vol_5d,vol_20d,vol_rel,regime,regime_label
2023-12-26,466.664,469.134,466.584,468.219,56266025,0.004223056300268091,0.009056861181541741,0.005890410422744881,0.698775871048649,1,Calm
2023-12-27,468.012,469.213,467.47,469.064,69079577,0.001804711043336571,0.008722273947757781,0.0058822694024834215,0.8548713045400705,1,Calm
2023-12-28,469.429,470.088,468.819,469.243,78382731,0.0003816110381524851,0.0035745709790240008,0.005855717568098658,0.9616839089911016,1,Calm
2023-12-29,469.045,469.578,465.906,467.884,124223965,-0.0028961540182804724,0.002624805952859235,0.00597141324823804,1.4850522226297425,0,Trending Down
2024-01-02,464.783,466.27,463.14,465.266,124960111,-0.005595403989022918,0.003875112028992925,0.006151696038822225,1.4641031271615705,0,Trending Down
2024-01-03,463.08,463.829,460.856,461.466,105229929,-0.008167370923299777,0.004120483613282377,0.006355778718885139,1.2106970802538335,0,Trending Down
2024-01-04,460.984,463.601,459.752,459.98,85569059,-0.003220172233707297,0.003197143789853383,0.006434487794335284,0.9764163670943256,1,Calm
2024-01-05,460.186,463.09,459.142,460.61,87485749,0.0013696247662942085,0.0035400367090674453,0.006307619911748575,0.9887094394579233,1,Calm
2024-01-08,461.111,467.334,460.984,467.185,76067517,0.014274548967673217,0.008855283171574097,0.00679523603955383,0.8559276609204096,1,Calm
2024-01-09,464.497,467.509,463.986,466.476,66977869,-0.0015176000941811152,0.008418977516497905,0.006815269634297235,0.7613072257829049,1,Calm
2024-01-10,466.752,469.989,466.466,469.114,68378960,0.005655167682796058,0.006989904271071412,0.006856598551012678,0.7763162905582109,1,Calm
2024-01-11,470.128,470.651,464.881,468.908,79177759,-0.00043912567094561705,0.0064282215095398144,0.006840787621279269,0.8941029560304941,1,Calm
2024-01-12,470.373,471.123,467.805,469.233,58947386,0.000693099712523626,0.006500680939750355,0.006202191173897638,0.679541941422705,1,Calm
2024-01-16,467.834,469.164,465.669,467.509,86364183,-0.0036740808937137936,0.0034768222044223884,0.006256515185820411,1.0161244850711195,1,Calm
2024-01-17,464.448,465.403,462.53,464.911,69936526,-0.0055571122694964,0.004325138787478685,0.006387821380633526,0.8602224493972286,1,Calm
2024-01-18,466.604,469.607,465.039,469.045,93314144,0.008892024495010808,0.005570463036200743,0.006569417794930424,1.132568558190309,1,Calm
2024-01-19,470.188,475.178,469.091,474.892,112593592,0.012465754884925628,0.007849443123668687,0.006996324681287192,1.3216925178141894,1,Calm
2024-01-22,476.448,477.639,475.237,475.897,77048703,0.002116270646799645,0.007790223340569064,0.006085861183192634,0.9192857755657886,1,Calm
2024-01-23,476.448,477.525,475.345,477.285,50738003,0.002916597499038831,0.0069195835390161355,0.005809943833437951,0.6191456889104402,1,Calm
2024-01-24,480.188,481.133,477.307,477.806,83062772,0.0010915909781366029,0.004939260347440663,0.005807573780525385,1.0045052965629748,1,Calm
2024-01-25,479.958,480.677,477.806,480.404,73676069,0.0054373532354135,0.004573613746457915,0.005846608128870512,0.8817068594740451,1,Calm
2024-01-26,479.973,481.478,478.939,479.794,77858026,-0.0012697646147825647,0.0024580773133498195,0.005873041336990902,0.9268850946849718,1,Calm
2024-01-29,480.109,483.737,479.558,483.595,62296035,0.007922149922675148,0.0035988551215822956,0.006060314450360061,0.7487925596043624,1,Calm
2024-01-30,482.896,483.94,482.453,483.221,59548747,-0.0007733744145411725,0.004029137024307964,0.005997069364416456,0.7447172025081484,1,Calm
2024-01-31,480.987,481.439,475.316,475.335,128011046,-0.016319654981882037,0.009432129062697277,0.007062081065453023,1.5978590546223634,0,Trending Down
2024-02-01,477.058,481.588,476.242,481.558,93350095,0.013091819453648457,0.011194775553027364,0.007193308122470709,1.173918052328699,1,Calm
2024-02-02,481.999,488.301,481.655,486.627,100803092,0.010526250212850918,0.011938835007732561,0.007308219359685274,1.255615530055978,1,Calm
2024-02-05,485.981,486.654,482.571,484.855,76959480,-0.0036413926888561043,0.011839801338104514,0.007446062713268409,0.9649426034193438,1,Calm
2024-02-06,485.809,486.597,484.362,486.262,56806114,0.0029018985057387425,0.011849110587942914,0.006923027301847241,0.7209590307590723,1,Calm
2024-02-07,488.536,490.742,487.621,490.317,71676343,0.008339125821059445,0.006680390713037126,0.007007817570930351,0.906981438689512,1,Calm
2024-02-08,490.317,490.918,489.491,490.534,53174407,0.00044257082662846337,0.005771960252481872,0.006981913743917689,0.6793964420267631,1,Calm
2024-02-09,491.047,493.812,490.702,493.369,64994823,0.005779415901854046,0.004653274797422047,0.006993931192594085,0.8380159409336236,1,Calm
2024-02-12,493.34,495.633,492.424,493.153,57399058,-0.0004378061856339377,0.0036667323868038743,0.007014437714162395,0.7408188047637428,1,Calm
2024-02-13,486.804,489.323,483.048,486.361,114894252,-0.01377260201195174,0.008558477935502707,0.007802414549254175,1.4560705056550365,0,Trending Down
2024-02-14,489.028,491.273,486.675,490.781,69473244,0.009087899728802196,0.008743882268921447,0.007742089452242751,0.8807024249361346,1,Calm
