feature,importance
cat__Embarked_Q,0.4638655963914327
cat__Embarked_C,0.3288493681317114
num__Pclass,0.28633281108246383
num__IsAlone,0.24404419080873135
num__Parch,0.21774229311014823
cat__Sex_male,0.184944136258785
cat__Sex_female,0.18477835805254572
num__Fare,0.16188183217671404
cat__Embarked_S,0.13518200646596382
num__FamilySize,0.08474739327225943
num__Age,0.07918629524344882
num__SibSp,0.049965667189394755
