ts,decision_ts,gross,net,exposure,turnover,txn_cost,slippage_cost,costs
2016-04-11,2016-04-08,0.002224469161325472,0.002224469161325472,0.9230729275502759,0.021016678920980546,0.0,0.0,0.0
2016-04-12,2016-04-11,0.008152578717477266,0.008152578717477266,0.9999999999999998,0.21650074464490573,0.0,0.0,0.0
2016-04-13,2016-04-12,0.010487940187249713,0.010487940187249713,1.0,0.022539897399444918,0.0,0.0,0.0
2016-04-14,2016-04-13,-0.0019361814822468088,-0.0019361814822468088,1.0,0.031753429063040066,0.0,0.0,0.0
2016-04-15,2016-04-14,-0.0007092094881172592,-0.0007092094881172592,1.0,0.022593432939927376,0.0,0.0,0.0
2016-04-18,2016-04-15,0.0037112111859274816,0.0037112111859274816,1.0000000000000002,0.02037444638933516,0.0,0.0,0.0
2016-04-19,2016-04-18,0.003962201897156864,0.003962201897156864,1.0,0.17623813833412924,0.0,0.0,0.0
2016-04-20,2016-04-19,0.0007894826052361708,0.0007894826052361708,1.0000000000000002,0.01925986276084602,0.0,0.0,0.0
2016-04-21,2016-04-20,-0.005251849057951936,-0.005251849057951936,1.0000000000000002,0.018718578764504654,0.0,0.0,0.0
2016-04-22,2016-04-21,-0.003048494560487231,-0.003048494560487231,0.9999999999999998,0.02489519998350123,0.0,0.0,0.0
2016-04-25,2016-04-22,-0.003694446587201356,-0.003694446587201356,1.0,0.04485064536758139,0.0,0.0,0.0
2016-04-26,2016-04-25,0.0023777841384199565,0.0023777841384199565,0.9999999999999998,0.0057401697445328345,0.0,0.0,0.0
2016-04-27,2016-04-26,0.0025477944719499842,0.0025477944719499842,1.0,0.04132477505332724,0.0,0.0,0.0
2016-04-28,2016-04-27,-0.008306736215123702,-0.008306736215123702,1.0,0.009697682878756775,0.0,0.0,0.0
2016-04-29,2016-04-28,-0.004337006932227822,-0.004337006932227822,0.9999999999999999,0.022968148960391774,0.0,0.0,0.0
2016-05-02,2016-04-29,0.0026231473440117784,0.0026231473440117784,0.9999999999999997,0.17912603936760507,0.0,0.0,0.0
2016-05-03,2016-05-02,-0.009599425480369695,-0.009599425480369695,1.0000000000000002,0.02713297063349108,0.0,0.0,0.0
2016-05-04,2016-05-03,-0.005379577746438118,-0.005379577746438118,1.0,0.025785001713895472,0.0,0.0,0.0
2016-05-05,2016-05-04,0.0005202490947859871,0.0005202490947859871,0.9999999999999999,0.04176854852482221,0.0,0.0,0.0
2016-05-06,2016-05-05,0.00396389743368536,0.00396389743368536,1.0,0.021071874649582628,0.0,0.0,0.0
2016-05-09,2016-05-06,-0.003172043185062746,-0.003172043185062746,0.9999999999999999,0.032975148032017385,0.0,0.0,0.0
2016-05-10,2016-05-09,0.011491529044358495,0.011491529044358495,0.9999999999999999,0.24103539412652863,0.0,0.0,0.0
2016-05-11,2016-05-10,-0.003055729905184956,-0.003055729905184956,1.0,0.02706988511783206,0.0,0.0,0.0
2016-05-12,2016-05-11,-0.002270618345262015,-0.002270618345262015,1.0,0.04263012113749616,0.0,0.0,0.0
2016-05-13,2016-05-12,-0.008435111744922496,-0.008435111744922496,1.0,0.540464193362325,0.0,0.0,0.0
2016-05-16,2016-05-13,0.01062350439232836,0.01062350439232836,1.0,0.023036388232579197,0.0,0.0,0.0
2016-05-17,2016-05-16,-0.005631319130088781,-0.005631319130088781,1.0,0.01690487892054847,0.0,0.0,0.0
2016-05-18,2016-05-17,5.9878997813411945e-05,5.9878997813411945e-05,1.0,0.23244895086051193,0.0,0.0,0.0
2016-05-19,2016-05-18,-0.004853652403038083,-0.004853652403038083,1.0,0.03861020003553049,0.0,0.0,0.0
2016-05-20,2016-05-19,0.0065842115372472245,0.0065842115372472245,1.0,0.005086307211737223,0.0,0.0,0.0
2016-05-23,2016-05-20,-0.0023461741565571352,-0.0023461741565571352,0.9999999999999999,0.030753343913533293,0.0,0.0,0.0
2016-05-24,2016-05-23,0.00742984278946429,0.00742984278946429,1.0,0.3593544596357192,0.0,0.0,0.0
2016-05-25,2016-05-24,0.0053340859976117325,0.0053340859976117325,0.9999999999999999,0.032681314285080434,0.0,0.0,0.0
2016-05-26,2016-05-25,-0.0006036533362481859,-0.0006036533362481859,0.960856559879139,0.3333366259822876,0.0,0.0,0.0
2016-05-27,2016-05-26,0.0014194675063040165,0.0014194675063040165,0.95039684310253,0.32779125766825973,0.0,0.0,0.0
2016-05-31,2016-05-27,0.00015861436284401168,0.00015861436284401168,1.0000000000000002,0.3750949097956966,0.0,0.0,0.0
2016-06-01,2016-05-31,0.0024130962501986604,0.0024130962501986604,1.0,0.023639262945570616,0.0,0.0,0.0
2016-06-02,2016-06-01,0.0027566156063096735,0.0027566156063096735,1.0,0.03177220615887667,0.0,0.0,0.0
2016-06-03,2016-06-02,0.0036329588776375936,0.0036329588776375936,1.0000000000000002,0.01192309344336151,0.0,0.0,0.0
2016-06-06,2016-06-03,0.0038370301837799877,0.0038370301837799877,1.0,0.07234384587738187,0.0,0.0,0.0
2016-06-07,2016-06-06,0.0035954498145889177,0.0035954498145889177,1.0,0.37088650133334755,0.0,0.0,0.0
2016-06-08,2016-06-07,0.005024544316120565,0.005024544316120565,1.0,0.016263905233993653,0.0,0.0,0.0
2016-06-09,2016-06-08,-0.004754640057998167,-0.004754640057998167,0.9999999999999999,0.03191226920887248,0.0,0.0,0.0
2016-06-10,2016-06-09,-0.013401392769941269,-0.013401392769941269,0.9999999999999999,0.024491858603483144,0.0,0.0,0.0
2016-06-13,2016-06-10,-0.007452067326254594,-0.007452067326254594,1.0,0.5616617639059598,0.0,0.0,0.0
2016-06-14,2016-06-13,-0.0040114708456099836,-0.0040114708456099836,1.0,0.030825549629928048,0.0,0.0,0.0
2016-06-15,2016-06-14,-0.001954945002380904,-0.001954945002380904,1.0000000000000002,0.20376182934687337,0.0,0.0,0.0
2016-06-16,2016-06-15,0.00034409005176106843,0.00034409005176106843,1.0,0.040010141948293707,0.0,0.0,0.0
