epoch,timesteps,val_final_equity,val_total_return,val_max_drawdown,val_sharpe,val_n_trades,val_win_rate,val_profit_factor
1,15000,0.9497617220705198,-0.05023827792948021,-0.1386475251771786,-0.19262527696179324,415,0.327710843373494,0.9330212110161643
2,30000,1.068896988953845,0.0688969889538451,-0.1134496679810717,0.38080879709648596,330,0.3515151515151515,1.02942030945855
3,45000,0.9472634818441911,-0.05273651815580893,-0.09476616672202443,-0.23255637719815897,280,0.325,0.7303568570107217
4,60000,1.0050851070154738,0.005085107015473822,-0.10099330333491552,0.027965715814822083,335,0.29850746268656714,0.8003107673275217
5,75000,0.9991717934338167,-0.0008282065661833204,-0.12136427480270973,0.008385107683051509,330,0.25757575757575757,0.6072796370460559
1,15000,0.9497617220705198,-0.05023827792948021,-0.1386475251771786,-0.19262527696179324,415,0.327710843373494,0.9330212110161643
2,30000,1.068896988953845,0.0688969889538451,-0.1134496679810717,0.38080879709648596,330,0.3515151515151515,1.02942030945855
3,45000,0.9472634818441911,-0.05273651815580893,-0.09476616672202443,-0.23255637719815897,280,0.325,0.7303568570107217
4,60000,1.0050851070154738,0.005085107015473822,-0.10099330333491552,0.027965715814822083,335,0.29850746268656714,0.8003107673275217
5,75000,0.9991717934338167,-0.0008282065661833204,-0.12136427480270973,0.008385107683051509,330,0.25757575757575757,0.6072796370460559
1,15000,0.9497617220705198,-0.05023827792948021,-0.1386475251771786,-0.19262527696179324,415,0.327710843373494,0.9330212110161643
2,30000,1.068896988953845,0.0688969889538451,-0.1134496679810717,0.38080879709648596,330,0.3515151515151515,1.02942030945855
3,45000,0.9472634818441911,-0.05273651815580893,-0.09476616672202443,-0.23255637719815897,280,0.325,0.7303568570107217
4,60000,1.0050851070154738,0.005085107015473822,-0.10099330333491552,0.027965715814822083,335,0.29850746268656714,0.8003107673275217
5,75000,0.9991717934338167,-0.0008282065661833204,-0.12136427480270973,0.008385107683051509,330,0.25757575757575757,0.6072796370460559
1,15000,0.8365325680393527,-0.16346743196064728,-0.2011075186408272,-0.24813190742115782,225,0.3333333333333333,1.1966666291592898
2,30000,0.9637746068847681,-0.036225393115231874,-0.14270392063171045,-0.0014931941735331846,255,0.38823529411764707,1.0068417535125664
3,45000,0.836580565680816,-0.16341943431918404,-0.19847868727580253,-0.22559477077791293,265,0.41509433962264153,0.9018143247095554
4,60000,0.9668502914311152,-0.03314970856888477,-0.1295472059861692,0.017640757712136648,230,0.3869565217391304,0.8164299972531535
5,75000,0.8739301056966384,-0.12606989430336157,-0.18354665079454857,-0.22086361375266467,175,0.34285714285714286,0.6032869091021822
6,90000,0.8911088438087533,-0.10889115619124667,-0.20919567502396996,-0.21689265470088256,200,0.37,1.070775661356643
7,105000,0.8665513770395343,-0.13344862296046567,-0.17972451858389737,-0.24774389513359138,280,0.425,1.217076862023131
1,15000,0.8365325680393527,-0.16346743196064728,-0.2011075186408272,-0.24813190742115782,225,0.3333333333333333,1.1966666291592898
2,30000,0.9637746068847681,-0.036225393115231874,-0.14270392063171045,-0.0014931941735331846,255,0.38823529411764707,1.0068417535125664
3,45000,0.836580565680816,-0.16341943431918404,-0.19847868727580253,-0.22559477077791293,265,0.41509433962264153,0.9018143247095554
4,60000,0.9668502914311152,-0.03314970856888477,-0.1295472059861692,0.017640757712136648,230,0.3869565217391304,0.8164299972531535
5,75000,0.8739301056966384,-0.12606989430336157,-0.18354665079454857,-0.22086361375266467,175,0.34285714285714286,0.6032869091021822
6,90000,0.8911088438087533,-0.10889115619124667,-0.20919567502396996,-0.21689265470088256,200,0.37,1.070775661356643
7,105000,0.8665513770395343,-0.13344862296046567,-0.17972451858389737,-0.24774389513359138,280,0.425,1.217076862023131
8,120000,0.9184659145238198,-0.08153408547618024,-0.1310395213406056,-0.16147461907418012,185,0.4540540540540541,1.0029266021530583
9,135000,1.0870856597743839,0.08708565977438387,-0.14361635493414904,0.5806225649558674,310,0.4838709677419355,1.0469699163631967
10,150000,0.8613310812197267,-0.13866891878027332,-0.16570786402104243,-0.23155495382065155,285,0.45263157894736844,1.0101568346401835
1,15000,0.8983647705949735,-0.10163522940502645,-0.15548588335125435,-0.2208268511006438,280,0.3392857142857143,0.6842081843007618
2,30000,1.003952780906017,0.003952780906016917,-0.0929572178627861,0.2097134204907986,210,0.48095238095238096,0.9962291034085521
3,45000,0.8413060902044448,-0.1586939097955552,-0.22258464827534863,-0.22896048229995472,235,0.44680851063829785,1.0114233093218041
4,60000,0.790057045282222,-0.20994295471777802,-0.23678091263360013,-0.2017408831206682,125,0.472,1.01169762232524
5,75000,0.9494562401692961,-0.050543759830703916,-0.11098725596996106,-0.05889337854653909,201,0.32338308457711445,0.9198244045208613
6,90000,0.8421131169521644,-0.1578868830478356,-0.19940057900185004,-0.22470730751107565,71,0.4225352112676056,0.9114449025685281
7,105000,0.7455693146578799,-0.2544306853421201,-0.27393832595761025,-0.1363667004357116,61,0.3442622950819672,0.897704821991967
1,15000,0.9682842168147668,-0.03171578318523316,-0.13314076978522726,0.0853889430216304,220,0.4090909090909091,1.0550074130538938
2,30000,0.972228484490366,-0.02777151550963397,-0.1178960286828521,0.07459615185383824,361,0.41274238227146814,1.7364070128651932
3,45000,1.0036388338614135,0.003638833861413504,-0.1301096100282534,0.1801067663576345,310,0.42258064516129035,1.0853259991508095
4,60000,0.9943600556932095,-0.00563994430679049,-0.12826014711272304,0.15848370300505094,231,0.6103896103896104,1.3033544956732843
5,75000,0.9567781140343856,-0.04322188596561438,-0.11575394178722676,0.05231295147751604,351,0.31339031339031337,1.2343635358456657
