epoch,timesteps,val_final_equity,val_total_return,val_max_drawdown,val_sharpe,val_n_trades,val_win_rate,val_profit_factor
1,15000,0.8855662349033313,-0.1144337650966687,-0.2127272919919857,0.0037871363622470704,341,0.49853372434017595,0.8261954860227538
2,30000,0.7943524953586426,-0.2056475046413574,-0.21730270103891625,0.0901578752081696,290,0.4103448275862069,1.2252104971690296
3,45000,0.8019274382212871,-0.1980725617787129,-0.21776041632224374,0.07743083965459709,231,0.3852813852813853,0.7747605579262116
4,60000,0.7455363331019144,-0.25446366689808564,-0.2625670408815467,0.15731712597137723,201,0.34328358208955223,0.9136939238904508
5,75000,0.8944856463136222,-0.10551435368637785,-0.1831726876857761,0.013173494219847372,190,0.3684210526315789,1.049485749828633
6,90000,0.9022946446732908,-0.09770535532670921,-0.18628654661833077,0.015063817297124724,140,0.5714285714285714,0.9846133489254245
7,105000,0.8646034534275923,-0.13539654657240774,-0.18204652582129932,0.021619916172345315,151,0.46357615894039733,0.8332054883003127
8,120000,0.7616939491715025,-0.23830605082849754,-0.2465850449660405,0.13179680870461533,271,0.36900369003690037,0.8940286874943765
9,135000,0.8574597671297429,-0.14254023287025708,-0.18502426986437548,0.017547919949970747,270,0.3296296296296296,0.8746778891805215
10,150000,0.8175170989786047,-0.1824829010213953,-0.23571912039680487,0.0611318643089995,121,0.4132231404958678,0.7686600495001601
