epoch,timesteps,val_final_equity,val_total_return,val_max_drawdown,val_sharpe,val_n_trades,val_win_rate,val_profit_factor
1,15000,0.8878175906462227,-0.11218240935377732,-0.13327600771028647,-0.05819402034395294,480,0.3125,0.6636224341732948
2,30000,0.8486681379141902,-0.15133186208580984,-0.1836616088062436,0.018840547206488974,400,0.375,0.6663545178786336
3,45000,0.9644481634711738,-0.03555183652882621,-0.11342253348322218,0.01118428754208921,480,0.3958333333333333,1.1005099055236323
4,60000,1.0153473136364086,0.015347313636408622,-0.13423140164216274,0.16058918266085434,510,0.3941176470588235,1.1300552501591148
5,75000,0.9930560937099752,-0.006943906290024837,-0.18514877504310068,0.1452797256047715,291,0.4845360824742268,1.1113576868259865
6,90000,1.0611969297119586,0.06119692971195856,-0.14876270120034463,0.3148317845311757,410,0.4902439024390244,1.0301932257830915
7,105000,0.9072569067790014,-0.09274309322099861,-0.12099471380513571,-0.0037932862353802807,381,0.3937007874015748,1.014573220862709
8,120000,0.9666175311168413,-0.033382468883158656,-0.12238337633636687,0.04858398887379297,420,0.38095238095238093,1.1791677049998535
9,135000,0.9139659195821885,-0.08603408041781146,-0.1344214514711991,0.004032453576235311,390,0.41025641025641024,1.1115965074861462
10,150000,0.972015674135427,-0.027984325864573,-0.12178207186705015,0.06614110642540501,350,0.45714285714285713,0.8485704129879077
