model,train_time_sec,f1_macro,accuracy,roc_auc
logistic_regression,0.047301292419433594,0.6703296703296704,0.7,0.6623376623376622
random_forest,0.9626460075378418,0.40476190476190477,0.52,0.4740259740259741
