Date,Open,High,Low,Close,Volume,ret_1d,ret_5d,vol_5d,vol_20d,vol_acc,range_vol,vol_rel,vol_z,sma_10,sma_20,sma_50,slope_10,mom_burst,rsi_14,macd_line,signal_line,macd_hist,bb_width
2005-05-06,90.9822,91.0283,90.32,90.3381,90213901,-0.003208689501913886,0.01148893765675374,0.0044059930741646375,0.009746224503544124,0.4520717814947151,0.007840545683382851,0.8301335015308676,-0.6618038171409373,89.66883,89.557265,91.106066,0.0013062823381091437,-0.7282555191639115,51.46463430205984,-0.22148017401212883,-0.5029494388733834,0.28146926486125456,0.046595305643110325
2005-05-09,90.4501,91.1134,90.3102,90.8904,56998543,0.006113699535412076,0.012108726879948462,0.004524960209926044,0.009850185328229438,0.4593781801199269,0.008837016890672766,0.5250803059923453,-1.833048067235151,89.78282,89.54568,91.049978,0.0012712332702455864,1.3511054021857565,54.685849110622414,-0.12274067265603605,-0.42690768562991394,0.3041670129738779,0.0458354110061847
2005-05-10,90.5564,90.6635,89.7936,89.9666,97252668,-0.010163889695721462,0.0,0.007265067288837011,0.010020618784479457,0.7250118425909574,0.009669143882285217,0.9021212775763018,-0.37389977174310673,89.89125,89.465125,90.988222,0.001207692072937805,-1.3990081430257957,48.84628395401937,-0.11767535766016124,-0.3650612200359634,0.24738586237580218,0.04092958592678443
2005-05-11,90.2097,90.5735,89.3905,90.4645,119295448,0.0055342760535577185,-0.0021949296023205944,0.006724289421371479,0.009773095979539976,0.6880408660110175,0.013076952837853442,1.0895741285885177,0.3524069147931289,90.01455000000001,89.463215,90.92674,0.0013716574193818332,0.8230275176646747,51.83177027679034,-0.0726472577897681,-0.3065784275867243,0.23393116979695622,0.04083023301978369
2005-05-12,90.52,90.718,89.0537,89.471,123874723,-0.010982208490623369,-0.012776277765701671,0.00821465404169522,0.009643727247156347,0.8518131870763435,0.018601558046741372,1.1341298464763516,0.5296960281087723,90.15046,89.47029,90.846306,0.0015098670159432448,-1.336904402544093,46.05570892247215,-0.11579450424129334,-0.26842164291763815,0.1526271386763448,0.040802750237687896
2005-05-13,89.7227,89.9666,88.5715,89.2854,110742945,-0.0020744151736317162,-0.011652890640825975,0.008207276691219066,0.009064998770841071,0.9053808939962577,0.015625175000615995,1.0440216614517197,0.20180606112042038,90.1478,89.531215,90.761412,-2.95062276997049e-05,-0.25275313589683035,45.045794007996086,-0.1630854294755011,-0.24735440022921074,0.08426897075370965,0.03809836057621033
2005-05-16,89.266,90.1478,89.2392,90.1198,63964862,0.009345312895501445,-0.008478343147351075,0.009114077516910133,0.0092562782949641,0.9846373700614283,0.010082135113482353,0.6224050892830667,-1.6016142131670104,90.17948,89.62008499999999,90.669662,0.0003514228855279189,1.0253711198737518,50.32007488150516,-0.13171637740001074,-0.22422679566337075,0.09251041826336001,0.036334428021043925
2005-05-17,89.8204,90.809,89.625,90.7086,79603309,0.006533525374002203,0.008247505185257742,0.008240084234741003,0.009201793585504039,0.8954867502920238,0.013052786615602021,0.7780005789657224,-0.9237842073501302,90.25368,89.70282999999999,90.588922,0.0008228035912383191,0.7928953630790398,53.697204413144355,-0.058668642840586926,-0.191115165098814,0.13244652225822706,0.03733435179340684
2005-05-18,91.1038,91.8713,91.0463,91.6523,101166140,0.010403644196911754,0.013130012325276663,0.009057939513717635,0.00869494114729092,1.0417482258105697,0.009001410766560173,1.0123306528069012,0.05596798859156062,90.35256,89.896175,90.534638,0.001095578595798008,1.1485661868894086,58.55951255575815,0.07451198842781537,-0.13798973439348813,0.2125017228213035,0.03637124376177805
2005-05-19,91.8265,92.1394,91.5777,92.0455,81460507,0.0042901269253472485,0.028774686770014934,0.004963280470435169,0.007695430234733247,0.6449646503237014,0.006102416739547309,0.8283679916540726,-0.7620562354708991,90.49422,90.02303500000001,90.509084,0.0015678581769016375,0.8643730868181247,60.42429496330228,0.20937303015173825,-0.06851718148444286,0.2778902116361811,0.04183404609746343
2005-05-20,92.0926,92.1203,91.6157,91.9098,60171548,-0.0014742708769032165,0.029393383464709988,0.004730053971481085,0.007629636439482611,0.6199579768969757,0.005490165357774648,0.6299033836711174,-1.5190902433551798,90.65138999999999,90.16011,90.47650800000001,0.0017367960075238553,-0.31168155249612023,59.43034936814853,0.3018223018140418,0.005550715175254073,0.2962715866387877,0.04470952393464786
